"filename", "language", "C++", "comment", "blank", "total"
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.cpp", "C++", 233, 0, 25, 258
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.h", "C++", 147, 15, 34, 196
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\env.cpp", "C++", 50, 2, 9, 61
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\env.h", "C++", 38, 0, 5, 43
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\lexer.cpp", "C++", 1251, 362, 324, 1937
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\object.cpp", "C++", 215, 0, 32, 247
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\object.h", "C++", 56, 0, 11, 67
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.cpp", "C++", 1073, 263, 246, 1582
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.hpp", "C++", 68, 36, 15, 119
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\till.cpp", "C++", 31, 0, 5, 36
"Total", "-", 3162, 678, 706, 4546